prot_b210_1ai5.pdb,MNP_1;
prot_dt198_3k4v.pdb,DMS_100;DMS_901;
prot_b210_1bcd.pdb,FMS_500;
prot_b210_1rds.pdb,GPC_106;
prot_astex_1hnn.pdb,SAH_2001;SKF_3001;
prot_b210_1hak.pdb,K21_901;
prot_b210_2msb.pdb,CA_1;CA_2;CA_3;CA_1;CA_2;CA_3;NAG_3;MAN_4;MAN_5;MAN_6;MAN_7;MAN_8;MAN_9;
prot_b210_1hti.pdb,PGA_549;
prot_b210_1aco.pdb,TRA_755;FS4_999;
prot_dt198_1uae.pdb,FCN_421;
prot_b210_1ukz.pdb,ADP_205;AMP_206;
prot_dt198_1oat.pdb,PLP_440;
prot_astex_1v4s.pdb,AGC_500;NA_600;MRK_501;
prot_b210_2cmd.pdb,CIT_313;
prot_astex_1r58.pdb,MN_480;MN_481;AO5_501;
prot_b210_1cle.pdb,NAG_535;NAG_537;NAG_538;PO4_601;CLL_801;
prot_b210_1hdy.pdb,NAD_377;PYZ_378;
prot_b210_1exw.pdb,NAG_400;NAG_410;HSF_430;NAG_420;NAG_421;
prot_astex_1lrh.pdb,ZN_180;NAG_181;NAG_182;MAN_183;MAN_184;MAN_185;MAN_186;NLA_5190;
prot_b210_1cla.pdb,CLM_221;
prot_b210_1ibg.pdb,CU_1;OBN_1;
prot_dt198_1sxk.pdb,BHA_251;
prot_astex_1v0p.pdb,PVB_1287;
prot_dt198_5jdw.pdb,GLY_500;
prot_dt198_1f5l.pdb,AMR_301;
prot_dt198_3cfq.pdb,DIF_1;
prot_b210_1c5c.pdb,TK4_1001;GOL_2001;GOL_2002;
prot_astex_1tt1.pdb,KAI_998;
prot_astex_1ygc.pdb,CA_300;SO4_301;SO4_302;SO4_304;SO4_308;SO4_310;SO4_311;SO4_312;CA_538;905_1;
prot_dt198_2h79.pdb,T3_1;
prot_b210_5abp.pdb,GLA_307;GLB_308;
prot_astex_1gkc.pdb,CA_1444;CA_1445;CA_1446;CA_1447;BUM_1449;ZN_1450;ZN_1451;CA_1452;BUM_1448;
prot_dt198_1lpd.pdb,ADE_901;
prot_astex_1uml.pdb,ZN_400;FR4_1001;
prot_dt198_2vdm.pdb,AGG_1462;
prot_b210_1eoc.pdb,FE_600;4NC_999;
prot_astex_1gm8.pdb,CA_1558;SOX_1559;
prot_b210_1ctt.pdb,DHZ_295;
prot_b210_1f0r.pdb,CA_301;815_401;
prot_b210_1azm.pdb,AZM_262;
prot_astex_1yvf.pdb,GOL_600;GOL_601;GOL_602;GOL_605;CL_701;PO4_702;PH7_800;
prot_dt198_1c1p.pdb,DMS_333;
prot_dt198_1yhm.pdb,AHD_901;
prot_astex_1p62.pdb,ADP_301;MO3_401;GEO_302;
prot_astex_1jje.pdb,ZN_251;ZN_252;ACT_260;ZN_261;BYS_250;
prot_dt198_3dyd.pdb,PLP_500;
prot_b210_1pha.pdb,HEM_417;PFZ_422;
prot_b210_1hfc.pdb,CA_277;HAP_280;
prot_dt198_2vcq.pdb,GSH_1200;
prot_astex_1nav.pdb,SO4_500;IH5_600;
prot_b210_6rnt.pdb,2AM_105;CA_106;
prot_astex_1yqy.pdb,ZN_601;915_501;
prot_b210_1l82.pdb,SEO_901;SEO_902;
prot_b210_2fox.pdb,FMN_139;
prot_b210_1hyt.pdb,CA_801;CA_802;CA_803;CA_804;DMS_806;BZS_807;
prot_b210_1cdg.pdb,MAL_688;MAL_689;MAL_690;CA_691;CA_692;
prot_dt198_1fj8.pdb,CER_500;
prot_dt198_1itu.pdb,CIL_451;
prot_astex_1owe.pdb,SO4_301;SO4_302;SO4_303;675_1001;
prot_dt198_1jxm.pdb,GAI_201;GAI_202;
prot_dt198_1umj.pdb,GAI_1001;GAI_1002;
prot_astex_1y6b.pdb,AAX_201;
prot_dt198_3gmz.pdb,ORN_551;
prot_b210_1lpm.pdb,MPA_560;CA_589;CA_590;NAG_991;NAG_992;NAG_994;
prot_b210_1b59.pdb,OVA_480;
prot_b210_1baf.pdb,NPP_250;
prot_b210_1a4g.pdb,NAG_1;CA_2;ZMR_254;
prot_dt198_3pah.pdb,ALE_700;
prot_dt198_1eem.pdb,GSH_999;
prot_astex_1n2j.pdb,GOL_502;GOL_503;SO4_602;SO4_603;BAL_802;PAF_1001;
prot_dt198_1p5j.pdb,PLP_941;
prot_b210_1aha.pdb,ADE_339;
prot_b210_1ldm.pdb,NAD_1;OXM_2;OXM_3;
prot_b210_1qpe.pdb,PTR_394;PP2_1904;
prot_b210_4mbp.pdb,GLC_371;GLC_372;GLC_373;GLC_374;
prot_dt198_1ig0.pdb,VIB_702;
prot_astex_1gpk.pdb,NAG_1536;NAG_1537;NAG_1538;NAG_1539;HUP_1540;
prot_b210_1lic.pdb,CYO_117;HDS_132;PPI_133;
prot_b210_1dd7.pdb,HEM_600;1PM_601;
prot_b210_1lcp.pdb,PLU_500;MPD_1;MPD_2;MPD_3;MPD_4;MPD_5;MPD_6;
prot_dt198_1d2a.pdb,ADE_401;
prot_dt198_3dzy.pdb,BRL_478;
prot_b210_2sim.pdb,DAN_800;
prot_astex_1n46.pdb,PFA_462;
prot_astex_1ywr.pdb,LI9_200;
prot_b210_1acj.pdb,THA_999;
prot_b210_1sre.pdb,HAB_300;
prot_b210_1okl.pdb,HG_531;MNS_862;
prot_dt198_1ig3.pdb,VIB_502;
prot_b210_1rgk.pdb,2AM_105;CA_106;
prot_astex_1l2s.pdb,STC_1115;STC_2115;STC_3115;
prot_dt198_1mrl.pdb,DOL_300;
prot_dt198_1wap.pdb,TRP_81;
prot_dt198_2jhf.pdb,DMS_404;
prot_b210_1thl.pdb,CLT_320;CCM_321;CA_3231;CA_3232;CA_3233;CA_3234;
prot_dt198_3d90.pdb,NOG_1001;
prot_dt198_3czd.pdb,GLU_600;
prot_b210_1hew.pdb,NAG_201;NAG_202;NAG_203;
prot_b210_1glp.pdb,GTS_1;GTS_1;
prot_b210_5er1.pdb,LOL_1;CH2_2;OME_6;
prot_b210_1aaq.pdb,PSI_1;
prot_dt198_1tuf.pdb,AZ1_502;
prot_b210_2ada.pdb,HPR_353;
prot_b210_2ack.pdb,EDR_999;
prot_astex_1jd0.pdb,ZN_901;AZM_1400;
prot_dt198_1p0m.pdb,CHT_607;
prot_dt198_2f92.pdb,AHD_9001;
prot_astex_1l7f.pdb,NAG_1146;NAG_1200;NAG_1201;BMA_1202;MAN_1203;MAN_1204;MAN_1205;MAN_1206;NAG_1086;NAG_1087;GOL_701;GOL_702;GOL_703;CA_998;CA_999;BCZ_801;
prot_dt198_1r6n.pdb,DMS_1114;
prot_b210_1fbl.pdb,HTA_900;CA_993;CA_994;CA_995;CA_996;
prot_b210_1blh.pdb,FOS_70;
prot_dt198_1qhy.pdb,CLM_888;CLM_999;
prot_astex_1u4d.pdb,CL_502;DBQ_301;
prot_dt198_1sqn.pdb,NDR_1001;
prot_astex_1hww.pdb,NAG_1101;ZN_1102;SWA_1103;MPD_1104;
prot_dt198_1upf.pdb,URF_999;
prot_dt198_1gtb.pdb,PZQ_901;
prot_b210_1ppi.pdb,CA_500;GLC_990;GLC_991;DAF_992;GLC_993;
prot_astex_1xoq.pdb,ROF_502;
prot_b210_1apt.pdb,LTA_1;IVA_4;MAN_334;
prot_dt198_2xh1.pdb,PLP_1427;
prot_dt198_1azm.pdb,AZM_262;
prot_dt198_1rbw.pdb,GAI_131;GAI_132;GAI_133;GAI_135;
prot_dt198_1w6r.pdb,GNT_1536;
prot_dt198_2jai.pdb,CIR_1281;
prot_b210_1ckp.pdb,PVB_1;EDO_2;
prot_b210_1c83.pdb,OAI_301;
prot_astex_1s19.pdb,MC9_500;
prot_b210_1tdb.pdb,UFP_529;
prot_b210_1hbv.pdb,GAN_600;
prot_b210_3ts1.pdb,TYA_321;
prot_dt198_1q8m.pdb,GSH_999;
prot_dt198_2cev.pdb,GAI_1001;GAI_1003;
prot_b210_2ak3.pdb,AMP_226;
prot_dt198_3inj.pdb,GAI_801;
prot_dt198_3b9m.pdb,SAL_1100;SAL_1200;
prot_b210_4hvp.pdb,ABA_67;ABA_95;NLE_3;NLE_4;
prot_b210_1bra.pdb,BEN_246;CA_302;
prot_b210_1coy.pdb,AND_508;FAD_510;
prot_dt198_3dgq.pdb,EAA_211;
prot_dt198_1fcm.pdb,CXN_961;
prot_b210_3nos.pdb,HEM_510;BH4_511;HAR_512;HEM_1010;BH4_1011;HAR_1012;
prot_dt198_2gsk.pdb,CNC_701;
prot_dt198_2hzp.pdb,PLP_544;
prot_b210_1uvs.pdb,I11_11;
prot_dt198_2c6g.pdb,GLU_1766;
prot_b210_2csc.pdb,CMC_700;MAL_702;
prot_b210_1ppk.pdb,PTA_1;OET_1;IVA_4;MAN_324;XYS_325;DMF_327;
prot_b210_1bl7.pdb,SB4_800;
prot_dt198_1ihi.pdb,IU5_326;
prot_b210_1a9u.pdb,SB2_800;
prot_dt198_1oxr.pdb,AIN_141;
prot_b210_1aj7.pdb,NPE_1;
prot_b210_2sns.pdb,CA_1;PTP_2;
prot_b210_6acn.pdb,PCA_1;TRC_899;FS4_999;
prot_astex_1r1h.pdb,NAG_752;NAG_753;NAG_754;ZN_1001;BIR_2001;
prot_b210_1eed.pdb,CHS_1;FOG_3;BOC_4;
prot_b210_1frp.pdb,FDP_1;FDP_2;AMP_3;AMP_4;
prot_dt198_1rv7.pdb,AB1_1001;
prot_b210_1eap.pdb,HEP_1;
prot_b210_1cbs.pdb,REA_200;
prot_b210_7tim.pdb,PGH_249;PGH_249;
prot_b210_3cla.pdb,CLM_221;
prot_b210_4gr1.pdb,FAD_479;PO4_480;RGS_481;
prot_b210_1nco.pdb,MPD_1;CHR_1;
prot_dt198_4pah.pdb,LNR_600;
prot_b210_1byg.pdb,STU_501;
prot_b210_6cpa.pdb,ZAF_1;
prot_dt198_1dug.pdb,GSH_1239;
prot_dt198_1yxm.pdb,ADE_4002;
prot_dt198_1qci.pdb,ADE_902;
prot_b210_1rt2.pdb,CSD_280;TNK_999;
prot_dt198_1mud.pdb,ADE_301;ADE_302;
prot_dt198_1q1c.pdb,DMS_301;DMS_302;DMS_303;DMS_304;DMS_305;
prot_dt198_1n2z.pdb,CNC_400;
prot_astex_1meh.pdb,CSO_319;K_900;IMP_602;MOA_600;
prot_dt198_1pn3.pdb,DVV_405;
prot_astex_1xoz.pdb,ZN_1;MG_2;CIA_501;
prot_b210_1ela.pdb,TFA_256;ISO_259;CA_280;ACY_300;
prot_astex_1g9v.pdb,HEM_143;HEM_348;HEM_543;HEM_748;RQ3_802;SO4_1200;SO4_1300;RQ3_801;
prot_b210_1fmo.pdb,ADN_351;
prot_dt198_1me7.pdb,MOA_600;
prot_astex_1n2v.pdb,ZN_400;BDI_900;
prot_b210_9aat.pdb,PMP_411;
prot_dt198_3b6r.pdb,CRN_603;
prot_dt198_2nvu.pdb,ATP_103;
prot_dt198_1pbc.pdb,BHA_396;
prot_astex_1mzc.pdb,ZN_1001;SUC_901;FPP_902;BNE_903;
prot_b210_1dmp.pdb,CSO_67;CSO_67;450_450;
prot_b210_2phh.pdb,APR_395;PHB_396;
prot_dt198_1tt6.pdb,DES_129;
prot_astex_1yv3.pdb,MG_700;EGL_701;MG_997;VO4_998;ADP_999;BIT_800;
prot_astex_1r9o.pdb,HEM_500;GOL_502;FLP_501;
prot_b210_1jao.pdb,CA_996;CA_997;BTP_1;GM1_3;
prot_dt198_1y8e.pdb,SVR_501;
prot_b210_1pgp.pdb,6PG_502;
prot_dt198_1q8y.pdb,ADE_900;
prot_b210_1ydr.pdb,TPO_197;SEP_338;IQP_1;
prot_dt198_1jd0.pdb,AZM_1400;
prot_astex_1pmn.pdb,984_501;
prot_dt198_1b3n.pdb,CER_413;
prot_astex_1s3v.pdb,SUL_188;SUL_189;TQD_187;
prot_dt198_1qb7.pdb,ADE_300;
prot_dt198_2oo0.pdb,PLP_600;
prot_astex_1z95.pdb,SO4_402;198_501;
prot_astex_1t9b.pdb,K_696;MG_699;FAD_701;NSP_704;K_1696;MG_1699;1CS_695;
prot_b210_1dg5.pdb,NDP_200;TOP_201;GOL_202;GOL_203;GOL_204;
prot_b210_1b6n.pdb,ABA_67;ABA_95;ABA_167;ABA_195;PI3_201;
prot_b210_1add.pdb,1DA_353;
prot_dt198_1y4l.pdb,SVR_301;
prot_astex_1tz8.pdb,DES_2;DES_3;GOL_4;GOL_5;DMS_6;ACT_7;CO3_8;DES_1;
prot_astex_1lpz.pdb,CA_1;CMB_301;
prot_b210_1rne.pdb,NAG_345;C60_350;
prot_dt198_2j6l.pdb,NAI_1501;
prot_b210_1dih.pdb,NDP_301;
prot_dt198_1e7a.pdb,PFL_4001;PFL_4002;
prot_b210_1rob.pdb,C2P_126;
prot_dt198_3cog.pdb,PLP_500;
prot_astex_1v48.pdb,ZN_301;MG_302;HA1_290;
prot_dt198_1pk2.pdb,ACA_91;
prot_astex_1m2z.pdb,BOG_501;DEX_301;
prot_dt198_1s2a.pdb,DMS_2002;
prot_b210_1cps.pdb,CPM_588;
prot_b210_1ei1.pdb,ANP_394;ANP_794;GOL_1031;GOL_2031;
prot_dt198_1cea.pdb,ACA_90;
prot_dt198_2azx.pdb,TRP_601;TRP_602;
prot_dt198_1px7.pdb,GSH_2001;
prot_b210_1ctr.pdb,CA_149;CA_150;CA_151;CA_152;TFP_153;
prot_dt198_1td7.pdb,NFL_2001;
prot_dt198_2nyr.pdb,SVR_401;
prot_dt198_1sbr.pdb,VIB_501;VIB_502;
prot_dt198_2qxs.pdb,RAL_600;
prot_dt198_2qr2.pdb,VK3_235;VK3_236;
prot_b210_1tph.pdb,PGH_250;PGH_250;
prot_b210_1inc.pdb,ICL_260;CA_325;
prot_astex_1k3u.pdb,PLP_802;NA_803;IAD_801;
prot_b210_1slt.pdb,CYO_16;CYO_88;CYO_130;CYO_130;NAG_401;GAL_402;
prot_dt198_2nz2.pdb,ASP_501;CIR_502;
prot_astex_1sqn.pdb,NDR_1001;
prot_dt198_2agd.pdb,NAG_405;
prot_astex_1ig3.pdb,SO4_602;SO4_603;SO4_604;SO4_605;SO4_606;SO4_607;SO4_608;SO4_609;SO4_610;SO4_611;SO4_612;SO4_613;SO4_615;SO4_616;VIB_502;
prot_b210_4dfr.pdb,MTX_1;
prot_b210_1sln.pdb,INH_256;CA_259;CA_260;CA_261;
prot_b210_2pk4.pdb,ACA_100;
prot_b210_1fkb.pdb,RAP_1;
prot_b210_1mmq.pdb,RRS_1;CA_3;CA_4;
prot_dt198_1cb0.pdb,ADE_290;
prot_dt198_3fhx.pdb,PXL_313;
prot_dt198_1qd2.pdb,ADE_280;
prot_dt198_1jys.pdb,ADE_233;
prot_dt198_3l6b.pdb,PLP_350;
prot_b210_1pdz.pdb,ACE_0;PGA_439;MN_440;
prot_b210_2cpp.pdb,HEM_417;CAM_422;
prot_astex_1sq5.pdb,ADP_5001;PAU_6001;
prot_b210_1ac0.pdb,GLC_1;GLC_2;GLC_3;GLC_4;GLC_5;GLC_6;GLC_7;
prot_dt198_3bju.pdb,LYS_601;
prot_b210_3gpb.pdb,G1P_900;G1P_901;PLP_999;
prot_b210_1nsc.pdb,NAG_466;SIA_467;CA_468;CA_469;CA_470;
prot_b210_1dr1.pdb,NAP_191;BIO_198;CA_200;
prot_astex_1p2y.pdb,HEM_430;NCT_440;
prot_dt198_1fwe.pdb,HAE_989;
prot_dt198_1zn7.pdb,ADE_655;
prot_b210_1c2t.pdb,NHS_222;GAR_223;
prot_b210_1tlc.pdb,DGP_1;CBX_1;F89_2;DGP_1;F89_2;
prot_astex_1oyt.pdb,SIN_1;NA_601;CA_701;FSN_501;
prot_dt198_2coj.pdb,GBN_420;
prot_dt198_1fw1.pdb,GSH_217;
prot_dt198_1t69.pdb,SHH_379;
prot_b210_1fki.pdb,SB1_109;
prot_b210_1vgc.pdb,V36_195;
prot_b210_1ake.pdb,AP5_215;
prot_b210_1lmo.pdb,NAG_130;NAG_131;
prot_b210_1adb.pdb,EOH_1;CND_3;
prot_b210_1a28.pdb,STR_1;
prot_dt198_1kp3.pdb,GAI_460;GAI_461;
prot_dt198_2zt7.pdb,GLY_1300;
prot_dt198_1ffy.pdb,MRC_1993;
prot_dt198_1s19.pdb,MC9_500;
prot_b210_1dog.pdb,AS1_171;AS2_395;GLC_443;GLC_444;GLC_452;GLC_453;GLC_455;GLC_457;GLC_459;GLC_460;GLC_462;GLC_464;NOJ_480;NOJ_481;
prot_astex_1ia1.pdb,NDP_193;TQ3_194;PO4_201;
prot_dt198_2ht9.pdb,GSH_200;
prot_dt198_3c6m.pdb,SPM_501;
prot_b210_1rpa.pdb,TAR_343;NAG_344;NAG_345;MAN_346;NAG_347;
prot_b210_1aoe.pdb,NDP_193;GW3_194;
prot_b210_1fgi.pdb,SU1_1001;
prot_astex_1u1c.pdb,PO4_3030;BAU_5400;
prot_dt198_3ba0.pdb,HAE_477;
prot_dt198_3kvv.pdb,URF_254;
prot_dt198_1nsi.pdb,ARG_700;
prot_dt198_1th6.pdb,OIN_401;
prot_astex_1hq2.pdb,MG_161;MG_162;CL_163;ACT_164;ACT_165;ACT_166;ACT_167;APC_171;HHP_181;
prot_dt198_2ab2.pdb,SNL_502;
prot_astex_1t40.pdb,NAP_318;ID5_320;
prot_dt198_2jis.pdb,PLP_1494;
prot_dt198_1qgj.pdb,GSH_1794;
prot_b210_1dbb.pdb,STR_1;
prot_astex_2br1.pdb,SO4_1278;SO4_1279;PFP_1277;
prot_dt198_1m54.pdb,PLP_1110;
prot_dt198_1xcl.pdb,GAI_237;
prot_dt198_1uw6.pdb,NCT_1208;
prot_dt198_1usq.pdb,CLM_1143;
prot_dt198_1dp0.pdb,DMS_8401;DMS_8402;DMS_8403;DMS_8404;DMS_8405;DMS_8406;DMS_8407;DMS_8408;DMS_8409;DMS_8410;DMS_8411;DMS_8412;DMS_8413;DMS_8414;DMS_8415;DMS_8416;DMS_8417;DMS_8419;DMS_8420;DMS_8421;DMS_8423;DMS_8425;DMS_8427;DMS_8501;DMS_8502;DMS_8503;DMS_8504;DMS_8602;
prot_dt198_1fa9.pdb,PLP_999;
prot_dt198_1c3s.pdb,SHH_952;
prot_b210_1bhf.pdb,ACE_251;1PA_252;
prot_b210_4tln.pdb,CA_1;CA_2;CA_3;CA_4;LNO_6;
prot_b210_3fx2.pdb,FMN_149;
prot_dt198_2f2q.pdb,GAI_500;
prot_b210_1bma.pdb,TFA_256;MBH_258;ISO_259;CA_280;
prot_b210_1mmp.pdb,RSS_1;CA_3;CA_4;
prot_b210_1ida.pdb,QND_1;HPB_3;PPL_4;PY2_5;
prot_b210_1c5x.pdb,FLC_1;FLC_2;FLC_3;ESI_246;
prot_dt198_1lxf.pdb,BEP_92;
prot_b210_4est.pdb,ACE_1;FPA_5;CA_248;
prot_b210_1pso.pdb,IVA_1;STA_4;STA_6;
prot_astex_1q4g.pdb,HEM_801;BOG_751;BOG_753;BOG_754;GOL_758;GOL_759;GOL_1758;NAG_661;NAG_662;NAG_681;NAG_682;MAN_683;MAN_684;NAG_671;NAG_672;MAN_673;MAN_674;MAN_675;NAG_1671;NAG_1672;MAN_1673;MAN_1674;MAN_1675;BFL_701;
prot_b210_1ivc.pdb,CA_470;ST2_471;NAG_472;NAG_473;NAG_474;NAG_475;MAN_476;FUC_477;NAG_478;NAG_479;MAN_480;MAN_481;MAN_482;MAN_483;NAG_484;NAG_485;
prot_dt198_2bdm.pdb,TMI_501;TMI_502;TMI_503;
prot_astex_1sj0.pdb,E4D_600;
prot_b210_1pbd.pdb,FAD_395;PAB_396;
prot_dt198_1z11.pdb,8MO_501;
prot_astex_1xm6.pdb,CME_194;CME_320;CME_432;5RM_301;
prot_astex_1j3j.pdb,CP6_609;NDP_610;UMP_611;
prot_b210_3er3.pdb,BOC_1;CAL_4;
prot_b210_1ulb.pdb,GUN_290;
prot_dt198_1udu.pdb,CIA_1003;
prot_b210_2ypi.pdb,PGA_249;
prot_b210_1abe.pdb,ARA_307;ARB_308;
prot_dt198_1h7x.pdb,URF_1033;
prot_dt198_1hwk.pdb,117_2;
prot_b210_1d0l.pdb,CA_400;BLG_401;
prot_dt198_2bxg.pdb,IBP_2001;IBP_2002;
prot_dt198_2h9t.pdb,SVR_301;
prot_astex_1oq5.pdb,ZN_600;CEL_701;
prot_b210_1qbr.pdb,638_638;
prot_astex_1kzk.pdb,CL_902;CL_905;CL_903;CL_904;JE2_701;EGL_801;EGL_802;EGL_803;EGL_804;EGL_805;CL_901;
prot_b210_1lah.pdb,ORN_240;
prot_dt198_1tpf.pdb,DMS_251;DMS_252;
prot_b210_1mrg.pdb,ADN_300;
prot_astex_1q41.pdb,IXM_451;
prot_b210_2qwb.pdb,NAG_86;NAG_146;NAG_200;MAN_200;SIA_800;SIA_801;CA_989;CA_999;
prot_b210_9icd.pdb,NAP_1;
prot_b210_2ctc.pdb,LOF_309;
prot_astex_1ke5.pdb,LS1_1;
prot_dt198_2abj.pdb,PLP_420;
prot_b210_2ifb.pdb,PLM_133;
prot_astex_1hvy.pdb,CME_43;UMP_314;D16_414;
prot_astex_1vcj.pdb,IBA_1;
prot_astex_1mmv.pdb,HEM_1750;BH4_1760;3AR_1785;
prot_dt198_1m2z.pdb,DEX_301;
prot_dt198_1hqc.pdb,ADE_501;
prot_dt198_1yki.pdb,DMS_1225;
prot_dt198_1qca.pdb,FUA_221;
prot_b210_1ebg.pdb,MG_438;MG_439;PAH_440;
prot_dt198_1ju6.pdb,LYA_317;
prot_b210_1d3h.pdb,A26_397;FMN_398;ORO_399;ACT_401;
prot_astex_1x8x.pdb,SO4_951;TYP_1;
prot_dt198_2biu.pdb,DMS_1166;DMS_1167;DMS_1168;DMS_1169;
prot_dt198_2of1.pdb,DMS_402;DMS_403;
prot_dt198_1x8v.pdb,ESL_471;ESL_472;
prot_dt198_1ltq.pdb,DMS_800;
prot_dt198_2aou.pdb,CQA_402;CQA_403;
prot_dt198_1i0z.pdb,NAI_401;
prot_b210_1bmq.pdb,MNO_601;
prot_b210_1tng.pdb,AMC_900;CA_901;
prot_dt198_1tz8.pdb,DMS_129;
prot_b210_1eta.pdb,T44_128;
prot_dt198_1nrg.pdb,PLP_320;
prot_dt198_2p8n.pdb,ADE_271;
prot_astex_1hp0.pdb,CA_328;AD3_1315;
